Hostel_ID,Month,Season,Hostel_Rooms,Occupied_Rooms,Occupancy_Percentage,Students,Building_Age_Years,Floors,Hostel_Area_sqft,Mess_Area_sqft,Daily_Mess_Attendance,Breakfast_Meals,Lunch_Meals,Dinner_Meals,Kitchen_Equipment,AC_Units,Fans,Lights,Computers,WiFi_Access_Points,Washing_Machines,Water_Pumps,Solar_Panels,Solar_Generation_kWh,Outdoor_Temperature_C,Humidity_Percentage,Water_Consumption_Liters,Generator_Hours,Power_Outage_Hours,Peak_Load_kW,Electricity_Tariff_RsPerkWh,Urban,Monthly_Electricity_kWh,Monthly_Electricity_Bill_Rs
H00001,Feb,Winter,160,107,66.88,428,21,8,30400,6073,371,371,356,365,38,17,472,960,69,15,13,7,0,0,24.3,54.3,78752,6.4,7.7,51.27,7.32,0,14466,105891.12
H00002,Jun,Monsoon,64,38,59.38,114,21,4,14464,2741,97,97,92,92,27,8,144,384,31,12,23,3,1,2223,27.6,87.5,18240,2.9,3.2,30.3,8.3,1,5970,49551.0
H00003,Aug,Monsoon,194,176,90.72,352,9,4,40352,6915,312,312,304,306,11,7,423,970,58,13,25,6,0,0,25.8,80.1,51392,5.3,7.9,31.14,7.33,1,11444,83884.52
H00004,Oct,Autumn,391,340,86.96,340,5,6,75072,14084,292,292,282,286,34,7,387,1564,41,9,28,1,0,0,29.7,47.3,56100,3.9,5.1,44.46,7.8,0,14618,114020.4
H00005,Jul,Monsoon,135,75,55.56,75,5,7,28890,5759,69,69,65,67,12,13,129,540,7,19,17,2,0,0,24.1,76.5,14475,6.9,9.0,40.14,9.19,1,8089,74337.91
H00006,Dec,Winter,92,75,81.52,225,3,4,17940,3253,206,206,202,196,27,1,259,368,16,18,25,8,1,413,18.8,60.1,30150,0.7,0.9,25.58,8.84,0,7282,64372.88
H00007,May,Summer,209,141,67.46,423,27,7,38247,7977,356,356,341,351,38,0,492,836,38,18,21,6,0,0,36.8,42.5,76563,9.8,11.8,34.78,7.42,0,12135,90041.7
H00008,Jun,Monsoon,63,48,76.19,144,35,6,12663,2410,120,120,118,118,13,8,178,189,12,14,3,7,1,552,29.0,82.7,23760,7.7,8.9,42.66,7.5,1,6352,47640.0
H00009,May,Summer,60,45,75.0,90,7,8,11880,1935,87,87,83,83,26,0,116,360,71,7,15,5,0,0,35.3,59.6,13860,3.7,5.6,8.47,8.12,1,5476,44465.12
H00010,Feb,Winter,360,282,78.33,846,15,7,80640,16878,716,716,714,690,29,15,878,1800,49,19,5,2,0,0,22.1,46.8,151434,3.0,4.3,67.88,8.01,1,20018,160344.18
H00011,Nov,Autumn,327,234,71.56,702,30,2,77826,16152,626,626,606,612,22,7,745,1308,17,5,8,5,0,0,27.4,51.5,146718,1.3,2.5,44.14,7.64,0,15794,120666.16
H00012,Jun,Monsoon,227,196,86.34,392,17,8,50394,9978,336,336,328,328,20,22,452,908,57,11,15,6,1,1069,26.8,85.2,48608,0.8,2.1,61.96,8.63,0,14337,123728.31
H00013,Jul,Monsoon,161,129,80.12,516,21,8,31717,5093,423,423,412,406,22,8,576,644,19,15,19,4,0,0,32.2,71.1,100104,6.5,9.5,43.59,8.36,1,12220,102159.2
H00014,Apr,Summer,149,137,91.95,137,8,5,33376,6885,117,117,110,112,18,0,199,447,77,11,23,4,0,0,33.7,59.5,24797,0.0,2.3,28.21,7.04,0,7198,50673.92
H00015,Jan,Winter,291,181,62.2,181,20,3,72459,14100,162,162,154,155,24,27,207,1746,50,5,5,8,0,0,27.3,61.2,38191,7.6,8.5,58.27,8.07,1,15318,123616.26
H00016,May,Summer,241,202,83.82,606,14,7,53261,8149,538,538,516,519,17,32,638,723,5,17,16,1,0,0,40.0,41.4,117564,0.0,0.2,92.69,6.98,1,18066,126100.68
H00017,Jun,Monsoon,164,140,85.37,280,31,7,30012,5441,265,265,263,252,38,16,312,820,75,16,25,2,1,1627,32.5,88.0,56560,0.3,3.0,57.18,10.29,1,12080,124303.2
H00018,Apr,Summer,352,309,87.78,618,34,6,71808,10955,571,571,557,559,24,29,688,1056,40,8,28,4,0,0,33.5,56.4,76014,10.9,11.5,77.35,8.0,0,20255,162040.0
H00019,Aug,Monsoon,140,87,62.14,261,6,3,34300,5640,222,222,220,219,39,16,320,560,78,10,9,5,1,488,24.7,85.1,34452,3.0,4.0,49.44,8.99,0,11601,104292.99
H00020,Apr,Summer,195,132,67.69,528,28,2,40365,7345,451,451,428,437,19,11,574,585,7,16,14,4,0,0,35.4,38.1,66528,8.4,9.1,47.75,7.27,1,12981,94371.87
H00021,Nov,Autumn,386,277,71.76,831,5,6,75656,11285,781,781,776,757,39,27,858,1930,34,20,16,4,1,2261,29.8,66.4,175341,3.6,5.2,76.98,10.39,0,22483,233598.37
H00022,Nov,Autumn,259,151,58.3,604,34,3,62419,10293,509,509,483,499,38,17,656,1295,14,14,8,8,0,0,29.0,52.4,113552,3.7,5.8,52.21,9.53,0,17016,162162.48
H00023,Feb,Winter,396,324,81.82,324,25,8,76032,14600,300,300,285,287,10,11,355,2376,66,20,29,2,0,0,21.2,62.5,59616,8.0,10.7,38.26,7.51,0,16197,121639.47
H00024,Aug,Monsoon,81,75,92.59,300,15,5,15552,2979,246,246,234,244,34,3,365,405,11,20,24,8,0,0,29.3,87.8,45600,6.0,8.2,34.09,7.12,1,9122,64948.64
H00025,Feb,Winter,316,300,94.94,600,11,6,65728,10748,536,536,518,524,16,2,632,948,11,14,29,3,0,0,21.9,52.2,116400,0.0,0.0,38.01,10.0,0,13369,133690.0
H00026,Jul,Monsoon,173,95,54.91,380,9,4,34081,5595,356,356,338,350,39,15,424,865,47,9,27,8,1,692,27.9,93.0,72960,6.1,7.7,42.9,10.09,1,13289,134086.01
H00027,Aug,Monsoon,219,159,72.6,477,27,6,49932,9970,409,409,385,392,25,22,510,1314,5,13,19,1,0,0,32.0,75.3,71073,2.3,4.4,76.41,10.2,0,15900,162180.0
H00028,Dec,Winter,187,138,73.8,414,26,5,35717,7686,372,372,360,362,23,5,436,1122,14,9,19,8,0,0,20.8,58.5,79902,3.9,6.4,27.87,6.54,1,11458,74935.32
H00029,Aug,Monsoon,314,264,84.08,528,2,8,64684,10785,457,457,432,448,36,19,562,942,45,11,15,2,1,1441,27.3,83.0,81840,7.5,9.9,57.94,7.61,1,16202,123297.22
H00030,May,Summer,266,166,62.41,332,6,4,60914,10110,272,272,266,259,37,13,400,1596,28,13,23,8,1,1840,30.8,58.0,70384,0.0,2.2,55.05,7.13,0,14207,101295.91
H00031,Feb,Winter,393,307,78.12,1228,34,6,90390,15135,1151,1151,1082,1149,33,42,1259,1179,12,6,8,3,1,3084,26.6,43.1,227180,3.0,5.3,118.64,8.11,1,26602,215742.22
H00032,Nov,Autumn,399,266,66.67,532,11,7,94962,15002,461,461,450,439,40,13,605,1995,76,19,12,5,0,0,25.1,63.3,113316,3.8,4.4,52.0,7.24,1,18722,135547.28
H00033,Feb,Winter,330,318,96.36,954,27,8,61050,11919,907,907,865,864,31,10,990,990,79,14,19,1,1,806,24.3,48.6,144054,5.2,8.2,55.02,10.45,0,18882,197316.9
H00034,Aug,Monsoon,271,223,82.29,892,16,5,64498,10543,792,792,765,753,40,32,932,1355,5,7,28,3,0,0,28.2,94.0,145396,7.4,7.5,101.87,6.9,1,23142,159679.8
